"filename", "language", "JavaScript", "JSON", "TypeScript", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\Nick\Documents\Programming\yak-engine\demo.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\Nick\Documents\Programming\yak-engine\dist\bundle.js", "JavaScript", 515, 0, 0, 0, 0, 61, 51, 627
"c:\Users\Nick\Documents\Programming\yak-engine\dist\index.html", "HTML", 0, 0, 0, 14, 0, 0, 6, 20
"c:\Users\Nick\Documents\Programming\yak-engine\dist\styles\main.css", "CSS", 0, 0, 0, 0, 65, 0, 13, 78
"c:\Users\Nick\Documents\Programming\yak-engine\package-lock.json", "JSON", 0, 7544, 0, 0, 0, 0, 1, 7545
"c:\Users\Nick\Documents\Programming\yak-engine\package.json", "JSON", 0, 23, 0, 0, 0, 0, 1, 24
"c:\Users\Nick\Documents\Programming\yak-engine\src\application.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\Nick\Documents\Programming\yak-engine\src\enums\MouseQuadrant.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\Nick\Documents\Programming\yak-engine\src\game.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 6, 41
"c:\Users\Nick\Documents\Programming\yak-engine\src\global.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Nick\Documents\Programming\yak-engine\src\graphics\canvas.ts", "TypeScript", 0, 0, 73, 0, 0, 1, 23, 97
"c:\Users\Nick\Documents\Programming\yak-engine\src\overlays\EngineStatsOverlay.ts", "TypeScript", 0, 0, 32, 0, 0, 1, 8, 41
"c:\Users\Nick\Documents\Programming\yak-engine\src\overlays\HtmlOverlay.ts", "TypeScript", 0, 0, 142, 0, 0, 1, 33, 176
"c:\Users\Nick\Documents\Programming\yak-engine\src\overlays\OverlayPosition.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 11
"c:\Users\Nick\Documents\Programming\yak-engine\src\primitives\Point.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\Nick\Documents\Programming\yak-engine\src\time.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\Nick\Documents\Programming\yak-engine\tsconfig.json", "JSON", 0, 10, 0, 0, 0, 52, 8, 70
"c:\Users\Nick\Documents\Programming\yak-engine\webpack.config.js", "JavaScript", 39, 0, 0, 0, 0, 0, 1, 40
"Total", "-", 554, 7577, 341, 14, 65, 116, 161, 8828
